URI,dcdtr:elementName,skos:prefLabel,dct:description,dcdtr:meaning,dcdtr:containerObject,dcdtr:dataType,dcdtr:valueDomain,dcdtr:unitOfMeasure,source
class/attribute/averagenettargetrockthicknessmethodology,AverageNetTargetRockThicknessMethodology,Average Net Target Rock Thickness Methodology,The method for well log interpretation in calculating AverageNetTargetRockThickness_m is stated here.  Required if AverageNetTargetRockThickness_m is provided.  Also include units and explanation for AverageNetTargetRockThicknessUncertainty value.  ,,,def/primitive-type/string,,,
class/attribute/averagenettargetrockthicknessuncertainty,AverageNetTargetRockThicknessUncertainty,Average Net Target Rock Thickness Uncertainty,An expression of the confidence in the  AverageNetTargetRockThickness value.  Best practice to include units and assumptions for calculating uncertainty within AverageReservoirDepthMethodology.  ,,,def/primitive-type/string,,,
class/attribute/averageperforatedthickness-m,AveragePerforatedThickness_m,Average Perforated Thickness m,Average perforated thickness per well across field.,,,def/primitive-type/real-number,class/value-domain/length-meters,,
class/attribute/averageprice-c-kw-h,AveragePrice_c_kW-h,Average Price cents per kilowatt-hour.,Total net production for the state divided by the gross receipts reported by the state department of taxation. Units are cents per kilowatt-hour.,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/averagereservoirdepth-m,AverageReservoirDepth_m,Average Reservoir Depth m,"An average depth for the -producing zone- of the reservoir.  For hydrocarbon reservoirs, this might be computed as a mean average of all total vertical depths (TVD) within the reservoir.  This value should be somewhere between the reservoir top and bottom depths.   Provide methodology and uncertainty for this value in the appropriate fields.  ",,,def/primitive-type/real-number,class/value-domain/length-meters,,
class/attribute/averagereservoirdepthmethodology,AverageReservoirDepthMethodology,Average Reservoir Depth Methodology,The method for calculating AverageReservoirDepth_m is stated here.  Required if AverageReservoirDepth_m is provided.  Also include units and explanation for AverageReservoirDepthUncertainty value. ,,,def/primitive-type/string,,,
class/attribute/averagereservoirdepthuncertainty,AverageReservoirDepthUncertainty,Average Reservoir Depth Uncertainty,An expression of the confidence in the  AverageReservoirDepth_m value.  Best practice to include units and assumptions for calculating uncertainty within AverageReservoirDepthMethodology.  ,,,def/primitive-type/string,,,
class/attribute/averagesurfacetemperature-degc,AverageSurfaceTemperature_degC,Average Surface Temperature degC,"If gradient is provided, specify the average surface temperature in degrees Celsius used in the AverageFieldWideGradient_degCm.  ",,,def/primitive-type/real-number,,,
class/attribute/averagesurfacetemperaturesource,AverageSurfaceTemperatureSource,Average SurfaceTemperature Source,"If gradient is provided, specify the source of the average surface temperature used in the AverageFieldWideGradient_degCm.  Provide publication citation, website URL, method, etc.",,,def/primitive-type/string,,,
class/attribute/averagetemperaturegeofluid,AverageTemperatureGeofluid,Average Temperature Geofluid,Average temperature of the fluids in the geothermal field. Use the same units as defined in TemperatureUnits field.,,class/data-object/quantity-with-units,def/primitive-type/real-number,class/value-domain/decimal-number,,
class/attribute/averagethermalconductivity,AverageThermalConductivity,Average Thermal Conductivity,Determined Thermal Conductivity for sample/formation of rock material.  Units need to be specifed in another field.,,class/data-object/quantity-with-units,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/averechargerategrndwtrvol-m3yr,AveRechargeRateGrndwtrVol_m3yr,Average Volumetric Groundwater Recharge Rate  m^3/yr,The mean recharge rate to groundwater volume for the mine identified by the FeatureURL. Report in cubic meters per year (m3/yr).  ,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/avethicknessminedeposit-m,AveThicknessMineDeposit_m,Average Thickness Mine Deposit m,"Estimated thickness of mined area of the mine identified by the FeatureURI. Measurement must be reported in decimal meter units. Mining operations may not have mined the entire seam or mined more than the seam thickness, so mine thickness is generally more normalized due to tunnel height etc for humans to access and remove coal. ",,,def/primitive-type/real-number,class/value-domain/length-meters,def/units-of-measure/meter,
class/attribute/basestationname,BaseStationName,Base Station Name,Name of base station used as calibration for measurement.,,,def/primitive-type/string,class/value-domain/name-string,,
class/attribute/bhintercepturi,BHInterceptURI,Borehole Intercept URI,"Unique identifier that specifies the  borehole intercept. Ideally, the identifier is an http URI that will dereference to a known, useful representation of the feature. This identifier will be used to cross reference the feature to other information related to this feature.",,,def/primitive-type/uri,class/value-domain/http-uri,,
class/attribute/bhintervaluri,BHIntervalURI,Borehole Interval URI,"Unique identifier that specifies the  borehole interval. Ideally, the identifier is an http URI that will dereference to a known, useful representation of the feature. This identifier will be used to cross reference the feature to other information related to this feature",,,def/primitive-type/uri,class/value-domain/http-uri,,
class/attribute/bht,BHT,BHT,Bottom Hole Temperature or Maximum Temperature from drilling log header of oil/gas well or well with only the log header available. Report temperatures in either degrees Fahrenheit or Celsius. Use same units throughout this document.,,class/data-object/quantity-with-units,def/primitive-type/real-number,class/value-domain/decimal-number,,
class/attribute/bhtcorrectedvalue,BHTCorrectedValue,BHT Corrected Value,Bottom Hole Temperature value corrected for drilling fluid influence on measurement. Estimate of an in situ value.,,class/data-object/quantity-with-units,def/primitive-type/real-number,class/value-domain/decimal-number,,
class/attribute/bhtcorrectiontype,BHTCorrectionType,BHT Correction Type,"Method used to correct the BHT to what is estimated as an in situ value, e.g., Harrison, Förster, Horner, etc.",,,def/primitive-type/string,,,
class/attribute/bitdiametercollar,BitDiameterCollar,Bit Diameter at Collar,"Bit diameter at the origin of the borehole, reported in decimal format.",,class/data-object/quantity-with-units,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/bitdiametertd,BitDiameterTD,Bit Diameter at TD,"Bit diameter at the bottom of the borehole, reported in decimal format.",,class/data-object/quantity-with-units,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/blockvolume-m3,BlockVolume_m3,Block Volume m3,Volume of sediment contained between specified isolines within data area.,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/boreholename,BoreholeName,Borehole Name,"Human-intelligible name by which the borehole identified by the HeaderURI is known. Convention for wellName is: Name = Operator + Well No. + Lease Owner. A well may consist of multiple boreholes (wellbores). If these are distinguished by different records in this table, they should have the same well names, but distinct BoreholeNames, and at least one identifier (APINo or OtherID) that is unique to the borehole. Conditional obligation - If the HeaderURI identifies a borehole which is one of several within a well, then a BoreholeName is mandatory. Each borehole should have a unique BoreholeName. Separate multiple BoreholeNames with the pipe character  | .",,,def/primitive-type/string,class/value-domain/name-string,,
class/attribute/bottomloggedinterval-ft,BottomLoggedInterval_ft,Bottom Logged Interval ft,Depth to the bottom of the logged interva (report in feet below ground level reported in the ElevationGL_ft field).,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/bouguercorrection-mgal,BouguerCorrection_mgal,Bouguer Correction mgal,"Correction for variation of gravity with elevation due to the mass of the material between the gravity station and the vertical datum.  4 decimal places is recommended by the USGS (OFR 02-463, p.6).",,,def/primitive-type/real-number,,,
class/attribute/bulkmixingformula,BulkMixingFormula,Bulk Mixing Formula,Method used to calculate Bulk Conductivity if cuttings or unconsolidated material.,,,def/primitive-type/string,,,
class/attribute/capacity,Capacity,Heat production capacity,"Heat production capacity of facility, in decimal format.",,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/capacity-mw,Capacity_MW,Capacity MW,Production capacity of the power plant in MW. Included as a search parameter.,,,def/primitive-type/real-number,class/value-domain/megawatts-of-power,,
class/attribute/capacityprocedure,CapacityProcedure,Capacity Procedure,"Text description of how the measurement was made - instrumentation, logging rate, correction or extrapolation process, how time since circulation was determined, etc. Data provider should indicate QA/QC performed on the data, including individual or institution, time frame and depth of quality check.",,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/capacityunits,CapacityUnits,Capacity Units,For interoperability use MW (megawatt). BTU (British Thermal Units) also may be used.,,,def/primitive-type/term,class/value-domain/units-of-measurement-terms,,
class/attribute/casingbottomdepthdriller,CasingBottomDepthDriller,Casing Bottom Depth Driller,Bottom of cased interval of the borehole as reported by the driller.,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/casingdepth-ft,CasingDepth_ft,Casing Depth ft,Bottom of cased interval of the borehole as reported by the driller.,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/casingdiameter-in,CasingDiameter_in,Casing Diameter in,"Internal (ID) or external diameter (ED) should be noted. Units must be same as those used to report bit diameter (Diameter units column). Note that if there are different casing types over different intervals in the well bore, these should be noted in tuples delimited by the pipe character  |  as follows: {top-bottom1, diameter1, xD1 | top-bottom2, diameter2, xD2}.",,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/casinglogger,CasingLogger,Casing Logger,The deepest cased depth in the borehole encountered during the log run.,,,def/primitive-type/string,,,
class/attribute/casingpipediameter,CasingPipeDiameter,Casing Pipe Diameter,"Internal (ID) or external diameter (ED) should be noted. Units must be same as those used to report bit diameter (Diameter units column). Note that if there are different casing types over different intervals in the well bore, these should be noted in tuples delimited by the pipe character  |  as follows: {top-bottom1, diameter1, xD1 | top-bottom2, diameter2, xD2}.",,class/data-object/quantity-with-units,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/casingthickness,CasingThickness,Casing Thickness,"Thickness Casing pipe installed in the borehole. Units must be same as diameter units specified in this record. If multiple pipe thicknesses used, these should be separated by the pipe character  | . ",,,def/primitive-type/term,class/value-domain/controlled-vocabulary,,
class/attribute/casingtopdepth,CasingTopDepth,Casing Top Depth,Top of cased interval of the borehole.,,class/data-object/quantity-with-units,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/casingtype,CasingType,Casing Type,"Type of casing used in the borehole, for example -steel- or -plastic-.",,,def/primitive-type/string,,,
class/attribute/casingweight,CasingWeight,Casing Weight,Casing pipe weight per length installed in the borehole.,,class/data-object/quantity-with-units,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/casingweightunits,CasingWeightUnits,Casing Weight Units,Units for the reported Casing Weight: kg/m OR lbs/ft.,,class/data-object/quantity-with-units,def/primitive-type/term,class/value-domain/units-of-measurement-terms,,
class/attribute/catalogsourcecode,CatalogSourceCode,Catalog Source Code,See list of codes from http://www.ncedc.org/anss/anss-catalog-source-codes.html on the -ANSS Source Code Tables- tab.,,,def/primitive-type/term,class/value-domain/controlled-vocabulary,,
class/attribute/cementationfactor,CementationFactor,Cementation factor,,,,,class/value-domain/cementation-factors,,
class/attribute/cementationmineralogy,CementationMineralogy,Cementation Mineralogy,"Calcite, Quartz, Iron Oxides, Clay Minerals, etc.",,,def/primitive-type/string,,,
class/attribute/circulationduration,CirculationDuration,Circulation Duration,"Time that hole was circulated after drilling stopped, in decimal hours; (not available in many cases).",,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/citation,Citation,Citation,"Free text citation, using some standard journal format, that identifies a publication in which this sample was defined.  For samples that are not described in publications, text description of where sample came from should include name of person or organization to contact to access sample.",,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/classification,Classification,Classification,"Springs are often classified by the volume of the water they discharge: Magnitude 1 ( greater than 100 cu ft/s); Magnitude 2 (10 to 100 ft³/s); Magnitude 3 (1 to 10 cu ft/s); Magnitude 4 (100 US gal/min to 1 cu ft/s [448 US gal/min]); Magnitude 5 (10 to 100 gal/min); Magnitude 6 (1 to 10 gal/min); Magnitude 7 (1 pint to 1 gal/min); Magnitude 8 (Less than 1 pint/min); Magnitude 0 (no flow [sites of past/historic flow]); Magnitude Unknown.
",,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/collectionactivityname,CollectionActivityName,Collection Activity Name,"Free text name that should uniquely identify the collection activity (cruise, project, etc.) for human readers.",,,def/primitive-type/string,class/value-domain/name-string,,
class/attribute/collectionactivityuri,CollectionActivityURI,Collection Activity URI,"Identifier for cruise, project, program that is context for sample collection activity. Ideally should dereference to some standard representation(s) of the activity.",,,def/primitive-type/uri,class/value-domain/http-uri,,
class/attribute/collectionmethod,CollectionMethod,Collection Method,"Coring, blasting, dredging, etc.",,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/collectionpurpose,CollectionPurpose,Collection Purpose,"Analysis, sample collection, etc.",,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/commodityofinterest,CommodityOfInterest,Commodity Of Interest,The commodity of interest associated with the borehole.,,,def/primitive-type/term,class/value-domain/controlled-vocabulary,,
class/attribute/completebouguervalue-mgal,CompleteBouguerValue_mgal,Complete Bouguer Value mgal,"Observed gravity measurement with Latitude, FreeAir, Bouguer, and Terrain corrections applied. 4 decimal places is recommended by the USGS (OFR 02-463, p.6).",,,def/primitive-type/real-number,,,
class/attribute/conductivitymeasureduri,ConductivityMeasuredURI,Conductivity Measured URI,"Related information on Conductivity template; give link information. Unique identifier for this observation. This is the identifier (Uniform Resource Identifier) that will be used to cross-reference data, samples, and other observations to the observation represented by this record. Best practice is to define an http URI that will dereference to a normative description of the observation. USGIN URIs may be redirected to any URL using the http://resources.usgin.org redirector; contact the USGIN development team at AZGS for instructions.",,,def/primitive-type/uri,class/value-domain/http-uri,,
class/attribute/conductivitynumsamples,ConductivityNumSamples,Conductivity Num Samples,Number of conductivity samples run to get measurement value.,,,def/primitive-type/integer,,,
class/attribute/conductivitysampletype,ConductivitySampleType,Conductivity Sample Type,"Rock Cuttings, Core, Estimate, Cross-Section Name, Reference Name, Log Type, etc.  When known, include Type and reference, e.g., Cross-Section: COSUNA CSR29; Estimate based on USGS Valley Fill value.",,,def/primitive-type/term,class/value-domain/controlled-vocabulary,,
class/attribute/contact,Contact,Contact Information Text,"information indicating how to contact a responsible party associated with some resource, represented as a single property. The value is represented as a text blob with name(s), address(es), etc.",,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/contactemailaddress,ContactEmailAddress,Contact Email Address,E-mail address to contact party connected with facility.,,class/data-object/contact-information-description,def/primitive-type/string,,,
class/attribute/contactintervalbottom,ContactIntervalBottom,Contact Interval Bottom,Bottom of interval in well from which fluid is injected.  Use PPDM (Professional Petroleum Data Management Association) term for interval of well that is coupled to wall rock for fluid transfer.,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/contactintervaltop,ContactIntervalTop,Contact Interval Top,Top of interval in well from which fluid is injected. Use PPDM (Professional Petroleum Data Management Association) term for interval of well that is coupled to wall rock for fluid transfer.,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/contactname,ContactName,Contact Name,"Person, organization, or position name for information about the facility.",,class/data-object/contact-information-description,def/primitive-type/string,class/value-domain/name-string,,
class/attribute/contactphone,ContactPhone,Contact Phone,Telephone number to contact party connected with facility.,,class/data-object/contact-information-description,def/primitive-type/string,,,
class/attribute/contourtype,contourType,contourType,Term classifying the variable that is contoured.,,,def/primitive-type/term,class/value-domain/controlled-vocabulary,,
class/attribute/contourtype-uri,contourType_uri,contour Type uri,Unique identifier referring to a controlled concept from a vocabulary defining the Contact types. Mandatory property - if no value is provided then a URI referring to a controlled concept explaining why the value is nil must be provided.,,,def/primitive-type/uri,class/value-domain/http-uri,,
class/attribute/contoururi,contourURI,contour URI,"Unique identifier that specifies the feature represented: e.g. a geologic feature, aquifer or facility structure. Ideally, the identifier is an http URI that will dereference to a known, useful representation of the feature. This identifier will be used to cross reference the feature to other information related to this feature.",,,def/primitive-type/uri,class/value-domain/http-uri,,
class/attribute/contourvalue,contourValue,contour Value,The value that the curve represents in decimal format.,,,def/primitive-type/real-number,,,
class/attribute/correctedtemperature,CorrectedTemperature,Corrected Temperature,Report the corrected formation temperature in this field.,,,def/primitive-type/real-number,,,
class/attribute/correctiondescription,CorrectionDescription,Correction Description,Description of Correction to thermal conductivity.,,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/correctiontc,CorrectionTC,Correction TC,Correction applied to thermal conductivity for in situ conditions.,,,def/primitive-type/real-number,,,
class/attribute/correctiontype,CorrectionType,Correction Type,"Term from controlled vocabulary to categorize the correction process, use for filtering results.",,,def/primitive-type/term,,,
class/attribute/county,County,County,"Required. County name. If unknown or not applicable use -missing-. If offshore, specify -offshore- in this field.",,,def/primitive-type/term,class/value-domain/us-county-name,,
class/attribute/crosssectionarea-m2,CrossSectionArea_m2,Cross Section Area m2,"Report estimated maximum area of cross section of recharge here; use square meters, m2.",,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/crosssectionareaprocedure,CrossSectionAreaProcedure,Cross Section Area Procedure,Free text for any notes pertaining to procedures for cross section area estimates; used to provide method of area determination.,,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/curatoruri,CuratorURI,Curator URI,Identifier for the party that currently has stewardship of the specimen. Ideally an http URI that will dereference to a standard CI_ResponsibleParty type representation of the party.,,,def/primitive-type/uri,class/value-domain/http-uri,,
class/attribute/currentcurationlocation,CurrentCurationLocation,Current Curation Location,"Free text Name of institution, museum, or repository where the sample is currently stored.",,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/dataentrysource,DataEntrySource,Data Entry Source,Person or organization responsible for data entry.,,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/datecollected,DateCollected,Date Collected,"Date for the record (date on which observation, measurement or test was made or specimen was collected. Day, month and year must be specified; ",,,def/primitive-type/date-time,class/value-domain/calendar-date,,
class/attribute/dateinstalled,DateInstalled,Date Installed,"Date facility installation was completed. Day, month and year must be specified; ",,,def/primitive-type/date-time,class/value-domain/calendar-date,,
class/attribute/datemostrecentevent,DateMostRecentEvent,Date Most Recent Event,"If earthquakes are associated with fault, calendar date of most recent event. Use ISO 8601 date time for consistency with other dates, recognizing that in general this will not include a time. Recommend using 12:00:00 as the default time.",,,def/primitive-type/string,class/value-domain/calendar-date,,
class/attribute/datetimelogrun,DateTimeLogRun,Date Time Log Run,"Date for the record: date on which observation, measurement or test was made or specimen was collected. Day, month and year must be specified; ",,,def/primitive-type/date-time,class/value-domain/era-of-borehole-drilling,,
class/attribute/datumelevation,DatumElevation,Datum Elevation,The point of reference against which elevation measurements are made. Best practice: use mean sea level (MSL) as datum.,,,def/primitive-type/real-number,,,
class/attribute/datumelevation-m,DatumElevation_m,Datum Elevation meters,The point of reference against which elevation measurements are made. Best practice: use mean sea level (MSL) as datum.,,,def/primitive-type/real-number,class/value-domain/length-meters,,
class/attribute/density,Density,Density,Mud weight.  The density of the drilling fluid.,,,def/primitive-type/string,,,
class/attribute/depth,Depth,Depth,Depth of the hypocenter location using an appropriate number of significant digits to convey the quality of the hypocenter. Focal Depth in kilometer below mean sea level.,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/depthbottominterval,DepthBottomInterval,Depth Bottom Interval,"Depth to the bottom of the borehole interval identified by the BHIntervalURI, from borehole origin to bottom of borehole interval.",,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/depthbottominterval-ft,DepthBottomInterval_ft,Depth Bottom Interval ft,"Depth to the bottom of the interval, reported in feet from borehole origin.",,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/depthbottomopenzone,DepthBottomOpenZone,Depth Bottom Open Zone,Depth to the bottom of the open zone of the test interval.,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/depthdeterminationmethod,DepthDeterminationMethod,Depth Determination Method,"Term that indicates origin of depth determination, one of {fixed, calculated, unknown}. This field is used to indicate where a fixed depth is used in hypocenter location calculation.  For events distant from any recording station the depth is commonly fixed in the hypocenter location calculation (typically 5 or 10 km).  A clear indication where depth was fixed, not calculated, would be useful.",,,def/primitive-type/string,,,
class/attribute/depth-ft,Depth_ft,Depth ft,Depth of the trench that is part of the system identified by the FacilityURI.,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/depthofmeasurement,DepthOfMeasurement,Depth Of Measurement,"Valid choices for units = Meters or Feet, in decimal format. If depth is reported as -surface- or -missing-, select -meters-.",,,def/primitive-type/real-number,,,
class/attribute/depthofmine-km,DepthOfMine_km,Depth Of Mine km,Vertical distance from lowest point of mine to elevation of mine origin.,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/depthreferencepoint,DepthReferencePoint,Depth Reference Point,Identifier for elevation datum to which other elevations are referred. Default shall be sea level (MSL) in decimal format.,,,def/primitive-type/term,class/value-domain/controlled-vocabulary,,
class/attribute/depthtobottom-m,DepthToBottom_m,Depth To Bottom m,Depth to bottom of reservoir.,,,def/primitive-type/real-number,class/value-domain/length-meters,,
class/attribute/depthtopinterval,DepthTopInterval,Depth Top Interval,"Depth to the top of the borehole interval identified by the BHIntervalURI, from borehole origin to top of borehole interval.",,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/depthtopinterval-ft,DepthTopInterval_ft,Depth Top Interval ft,"Depth to the top of the interval, reported in feet from borehole origin. ",,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/depthtopopenzone,DepthTopOpenZone,Depth Top Open Zone,Depth to the top of the open zone of the test interval.,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/depthtotop-m,DepthToTop_m,Depth To Top m,Depth to top of reservoir.,,,def/primitive-type/real-number,class/value-domain/length-meters,,
class/attribute/depthtowater-ft,DepthToWater_ft,Depth To Water ft,Depth to groundwater in feet.,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/depthuncertainty,DepthUncertainty,Depth Uncertainty,Uncertainty associated with depth measurements/values.,,,def/primitive-type/string,,,
class/attribute/depthunits,DepthUnits,Depth Units,"Units used to report all elevation and depth information, decimal meters or feet.",,,def/primitive-type/term,class/value-domain/units-of-measurement-terms,,
class/attribute/description,Description,Description,"Free text field for any additional observations or other information regarding the feature, any special considerations with this instance (quality, lithology, locality, size, weight, etc).",,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/detectionlimituri,DetectionLimitURI,Detection Limit URI,"Unique identifier that identifies an analysis observation whose analyte values are the detection limits for each analyte. Ideally, the identifier is an http URI that will dereference to a known, useful representation of the feature. This identifier will be used to cross reference the feature to other information related to this feature. Unique identifier for each set of samples, each analyzed using the same method, technique and using the same equipment.",,,def/primitive-type/uri,class/value-domain/http-uri,,
class/attribute/developmentarea,DevelopmentArea,Development Area,Report in km2 (kilometers squared).,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/diameterunits,DiameterUnits,Diameter Units,"Units of length used to specify diameters in this record. Inches  or centimeters, in decimal units.",,,def/primitive-type/term,class/value-domain/units-of-measurement-terms,,
class/attribute/dipdirection,DipDirection,Dip Direction,Term indicating general direction of dip of the fault structure described in this record.,,,def/primitive-type/string,,,
