identifier,localName,description,cardinality,nilable,sequence,implementationCodelistURI,implementedDataTypeURI,UnitOfMeasure,,
/implementation-element/facilitycontact,FacilityContact,"Person, organization, or position name for information about the facility.",1,,,,,,,
/implementation-element/postaladdress,PostalAddress,"Postal address for facility. Street, City, State.",0..1,,,,,,,
/implementation-element/zip,Zip,Zip code for facility; may be used for some geolocation information.,0..1,,,,,,,
/implementation-element/phone,Phone,Telephone number to contact party connected with facility.,0..1,,,,,,,
/implementation-element/emailaddress,EMailAddress,E-mail address to contact party connected with facility.,0..1,,,,,,,
/implementation-element/source,Source,"Mandatory. Short text explanation of source of information defining this feature or record; may be author-date type citation, well log, report, data files etc., but should include some indication of how digital data originated. If unpublished data, provide researcher name, date and research institution for proper citation. Separate multiple citations with pipe '|' character.",1,,,,,,,
/implementation-element/fluidtemperature-c,FluidTemperature_C,"Water temperature, in decimal format. Degrees Celsius is preferred and will be reported for consistency in service implementations.",0..1,,,,,,,
/implementation-element/flow-gpm,Flow_gpm,Fluid production flow rate.,0..1,,,,,,,
/implementation-element/relatedresource,RelatedResource,"This may be one to many http links to resources (logs, pictures or other documents if available online. Should be an http:// address (URL)) related to the observation described in each record. Delimit multiple values with the pipe '|' character.",0..1,,,,,,,
/implementation-element/metadatauri,MetadataURI,"URI identifying (and ideally dereferencing to get) a full formal metadata record for the observation report. A time series of observations may all reference the same metadata record that provides contact information and details on procedure, etc.",0..1,,,,,,,
/implementation-element/updatetimestamp,UpdateTimeStamp,Date of last time line of data was updated or corrected by the service provider.(Format: 2012-06-22T00:00).,1,,,,,,,
/implementation-element/shape,Shape,"Added by GIS for WFS service; this element appears in the xml output, but is generated during service deployment from the latitude and longitude, therefore it doesn't appear in the template",1,,,,,,,
