Attribute Label,dcdtr:representation,Property Label,dcdtr:meaning
Depth To Water ft,class/attribute/depthtowater-ft,Vertical Position,def/property/vertical-position
Depth Top Interval,class/attribute/depthtopinterval,Vertical Position,def/property/vertical-position
Depth Top Interval ft,class/attribute/depthtopinterval-ft,Vertical Position,def/property/vertical-position
Depth Top Open Zone,class/attribute/depthtopopenzone,Vertical Position,def/property/vertical-position
Depth Uncertainty,class/attribute/depthuncertainty,Uncertainty,def/property/uncertainty
Depth Units,class/attribute/depthunits,Unit of Measure,def/property/unit-of-measure
Description,class/attribute/description,Feature Description,def/property/feature-description
Detection Limit URI,class/attribute/detectionlimituri,Analytical Procedure Metadata,def/property/analytical-procedure-metadata
Development Area,class/attribute/developmentarea,Extent,def/property/extent
Diameter Units,class/attribute/diameterunits,Unit of Measure,def/property/unit-of-measure
Dip Direction,class/attribute/dipdirection,Geospatial Orientation,def/property/geospatial-orientation
Discharge,class/attribute/discharge,Fluid Flux,def/property/fluid-flux
Discharge Thickness m,class/attribute/dischargethickness-m,Extent,def/property/extent
Discharge Units,class/attribute/dischargeunits,Unit of Measure,def/property/unit-of-measure
Displacement,class/attribute/displacement,Area,def/property/area
Display Name,class/attribute/displayname,Name,def/property/name
Dominant Formation Name,class/attribute/dominantformationname,Feature Name,def/property/feature-name
Drill Pipe Internal Diameter in,class/attribute/drillpipeinternaldiameter-in,Extent,def/property/extent
Drill Pipe Length,class/attribute/drillpipelength,Pipe Extent,def/property/pipe-extent-
Drilled Depth ft,class/attribute/drilleddepth-ft,Feature Extent,def/property/feature-extent
Driller,class/attribute/driller,Resource Responsible Party,def/property/resource-responsible-party
Driller Total Depth,class/attribute/drillertotaldepth,Feature Extent,def/property/feature-extent
Driller Total Depth ft,class/attribute/drillertotaldepth-ft,Extent,def/property/extent
Drilling Fluid,class/attribute/drillingfluid,Category  Name,def/property/category--name
Drilling Method,class/attribute/drillingmethod,Drilling Method,def/property/drilling-method
Drive,class/attribute/drive,Process Type,def/property/process-type
Dry Sample Conductivity,class/attribute/drysampleconductivity,Thermal Conductivity,def/property/thermal-conductivity
Duration Days,class/attribute/durationdays,Duration,def/property/duration
Effective Cross Section Area m2,class/attribute/effectivecrosssectionarea-m2,Extent,def/property/extent
Effective Porosity,class/attribute/effectiveporosity,porosity,def/property/porosity
Effective Volume m3,class/attribute/effectivevolume-m3,Volume,def/property/volume
Elevation,class/attribute/elevation,Vertical Position,def/property/vertical-position
Elevation  Ground Level feet,class/attribute/elevationgl-ft,Borehole Collar Elevation,def/property/borehole-collar-elevation
Elevation Bottom Open Zone msl,class/attribute/elevationbottomopenzone-msl,Vertical Position,def/property/vertical-position
Elevation Datum,class/attribute/elevationdatum,Vertical Datum,def/property/vertical-datum
Elevation Datum meters,class/attribute/elevationdatum-m,Vertical Datum,def/property/vertical-datum
Elevation DF,class/attribute/elevationdf,Borehole Collar Elevation,def/property/borehole-collar-elevation
Elevation ft msl,class/attribute/elevation-ft-msl,Vertical Position,def/property/vertical-position
Elevation GL,class/attribute/elevationgl,Borehole Collar Elevation,def/property/borehole-collar-elevation
Elevation Ground Level meters,class/attribute/elevationgl-m,Borehole Collar Elevation,def/property/borehole-collar-elevation
Elevation KB,class/attribute/elevationkb,Borehole Collar Elevation,def/property/borehole-collar-elevation
Elevation m,class/attribute/elevation-m,Vertical Position,def/property/vertical-position
Elevation Top Open Zone msl,class/attribute/elevationtopopenzone-msl,Vertical Position,def/property/vertical-position
Elevation Type,class/attribute/elevationtype,Datum Type,def/property/datum-type
Elevation Units,class/attribute/elevationunits,Unit of Measure,def/property/unit-of-measure
Elevation Units of Measure,class/attribute/elevationuom,Unit of Measure,def/property/unit-of-measure
Email Address,class/attribute/emailaddress,E-Mail Address,def/property/e-mail-address
End Report Interval,class/attribute/endreportinterval,Event in History,def/property/event-in-history
Ended Drilling Date,class/attribute/endeddrillingdate,Feature History,def/property/feature-history
Ended Mining Date,class/attribute/endedminingdate,Feature History,def/property/feature-history
Energy Use,class/attribute/energyuse,Energy,def/property/energy
Energy Use Procedure,class/attribute/energyuseprocedure,Observation Procedure,def/property/observation-procedure
Energy Use Units,class/attribute/energyuseunits,Unit of Measure,def/property/unit-of-measure
Eq Log Measurement Date,class/attribute/eqlog-measurementdate,Feature History,def/property/feature-history
Eq Log Temperature Bottom,class/attribute/eqlogtemperaturebottom,Temperature,def/property/temperature
Eq Log Temperature Max,class/attribute/eqlogtemperaturemax,Temperature,def/property/temperature
Eq Log Temperature Top,class/attribute/eqlogtemperaturetop,Temperature,def/property/temperature
Eq Log Total Depth,class/attribute/eqlog-totaldepth,Vertical Extent,def/property/vertical-extent
Equilibrium Pressure,class/attribute/equilibriumpressure,Pressure,def/property/pressure
Equilibrium Pressure Method,class/attribute/equilibriumpressuremethod,Observation Procedure,def/property/observation-procedure
Est Air Temp Centigrade,class/attribute/estairtemp-c,Temperature,def/property/temperature
Est Mine Water Temperature Centigrade,class/attribute/estminewtrtemp-c,Temperature,def/property/temperature
Estimated Reservoir Volume,class/attribute/estimatedreservoirvolume,Volume,def/property/volume
Event Name,class/attribute/eventname,Event Name,def/property/event-name
Event Type,class/attribute/eventtype,Event Type,def/property/event-type
Event Type Term,class/attribute/eventtypeterm,Event Type,def/property/event-type
Event URI,class/attribute/eventuri,Feature Identifier,def/property/feature-identifier
Facility Name,class/attribute/facilityname,Facility Name,def/property/facility-name
Facility Owner,class/attribute/facilityowner,Resource Owner,def/property/resource-owner
Facility Postal Address,class/attribute/facilitypostaladdress,Postal Address,def/property/postal-address
Facility Postal Zipcode,class/attribute/facilitypostalzipcode,Zip Code,def/property/zip-code
Facility Status,class/attribute/facilitystatus,Resource State,def/property/resource-state
Facility Type,class/attribute/facilitytype,Feature Type,def/property/feature-type
Facility URI,class/attribute/facilityuri,Self Identifier,def/property/self-identifier
Fault Count,class/attribute/faultcount,Fault Count,def/property/fault-count
Fault Hydraulic Character,class/attribute/faulthydrauliccharacter,Hydraulic conductivity,def/property/hydraulic-conductivity
Fault Type,class/attribute/faulttype,Feature Type,def/property/feature-type
Faulted,class/attribute/faulted,Fault Boundary,def/property/fault-boundary
Feature Of Interest URI,class/attribute/featureofinteresturi,Feature Identifier,def/property/feature-identifier
Feature Type,class/attribute/featuretype,Feature Type,def/property/feature-type
Feature URI,class/attribute/featureuri,Feature Identifier,def/property/feature-identifier
Field,class/attribute/field,Fiat Geographic Area,def/property/fiat-geographic-area
Field Name,class/attribute/fieldname,Feature Name,def/property/feature-name
First Production Date,class/attribute/firstproductiondate,Event in History,def/property/event-in-history
Flow,class/attribute/flow,Fluid Flux,def/property/fluid-flux
Flow Continuity,class/attribute/flowcontinuity,Flow Continuity,def/property/flow-continuity
Flow gpm,class/attribute/flowgpm,Fluid Flux,def/property/fluid-flux
Flow History,class/attribute/flowhistory,History,def/property/history
Flow Measurement Date Time,class/attribute/flowmeasurementdatetime,History,def/property/history
Flow Measurement Procedure,class/attribute/flowmeasurementprocedure,Observation Procedure,def/property/observation-procedure
Flow Pressure Max,class/attribute/flowpressuremax,Pressure,def/property/pressure
Flow Pressure Method,class/attribute/flowpressuremethod,Observation Procedure,def/property/observation-procedure
Flow Pressure Min,class/attribute/flowpressuremin,Pressure,def/property/pressure
Flow Units,class/attribute/flowunits,Unit of Measure,def/property/unit-of-measure
FlowType,class/attribute/flowtype,Eruptive Style Type,def/property/eruptive-style-type
Fluid Level,class/attribute/fluidlevel,Vertical Position,def/property/vertical-position
Fluid Loss,class/attribute/fluidloss,Fluid Flux,def/property/fluid-flux
Fluid Temperature C,class/attribute/fluidtemperaturec,Fluid Temperature,def/property/fluid-temperature
Fluid Temperature Centigrade,class/attribute/fluidtemperature-c,Temperature,def/property/temperature
Fluid Type,class/attribute/fluidtype,Material Type,def/property/material-type
Fluid Volume,class/attribute/fluidvolume,Volume,def/property/volume
Fluid Volume Units,class/attribute/fluidvolumeunits,Unit of Measure,def/property/unit-of-measure
Formation Factor,class/attribute/formationfactor,Pore Geometry Characteristics,def/property/pore-geometry-characteristics
Formation Name,class/attribute/formationname,Feature Name,def/property/feature-name
Formation TD,class/attribute/formationtd,Feature of Interest,def/property/feature-of-interest
Formation Temperature,class/attribute/formationtemperature,Temperature,def/property/temperature
Free Air Correction mgal,class/attribute/freeaircorrection-mgal,Correction,def/property/correction
Full Name,class/attribute/fullname,Feature Name,def/property/feature-name
Function,class/attribute/function,Functional Characterization,def/property/functional-characterization
Generic Symbolizer,class/attribute/genericsymbolizer,Representation,def/property/representation
Geographic Position,class/attribute/geographicposition,Geospatial Position,def/property/geospatial-position
Geologic Age,class/attribute/geologicage,Category  Name,def/property/category--name
Geologic Formation,class/attribute/geologicformation,Feature Name,def/property/feature-name
Geologic Formation Name,class/attribute/geologicformationname,Feature Name,def/property/feature-name
Geologic Formation Type,class/attribute/geologicformationtype,Category  Name,def/property/category--name
Geologic Formation URI,class/attribute/geologicformationuri,Feature Identifier,def/property/feature-identifier
Geologic History,class/attribute/geologichistory,History,def/property/history
Geologic Setting,class/attribute/geologicsetting,Notional Location,def/property/notional-location
Geologic Unit,class/attribute/geologicunit,Feature Name,def/property/feature-name
Geologic Unit Name,class/attribute/geologicunitname,Feature Name,def/property/feature-name
Geotherm Temp Characterization,class/attribute/geothermtempcharacterization,Geothermal Resource Type,def/property/geothermal-resource-type
Geothermal Area URI,class/attribute/geothermalareauri,Feature Identifier,def/property/feature-identifier
Gradient Units,class/attribute/gradientunits,Unit of Measure,def/property/unit-of-measure
Gross Production Capacity,class/attribute/grossproductioncapacity,Power Production Capacity,def/property/power-production-capacity
Gross Production MWhr,class/attribute/grossproduction-mwhr,Power Production Capacity,def/property/power-production-capacity
Groundwater Flow Direction,class/attribute/groundwaterflowdirection,Flow Direction,def/property/flow-direction
GT Quality Support Data,class/attribute/gtqualitysupportdata,Observation Procedure,def/property/observation-procedure
GTE picenter Quality,class/attribute/gtepicenterquality,Location Uncertainty,def/property/location-uncertainty
GW Discharge Distance m,class/attribute/gwdischargedistance-m,Extent,def/property/extent
Header URI,class/attribute/headeruri,Feature Identifier,def/property/feature-identifier
Heat Application,class/attribute/heatapplication,Usage,def/property/usage
Heat Exchange System,class/attribute/heatexchangesystem,Material Type,def/property/material-type
Heat Flow Type,class/attribute/heatflowtype,Feature Type,def/property/feature-type
Heat Flow Units,class/attribute/heatflowunits,Unit of Measure,def/property/unit-of-measure
Heat Generation,class/attribute/heatgeneration,Heat Production,def/property/heat-production
Heat Generation Units,class/attribute/heatgenerationunits,Unit of Measure,def/property/unit-of-measure
Heat production capacity,class/attribute/capacity,Heat Production,def/property/heat-production
Heat Production mW/m3,class/attribute/heatproduction-mwm3,Heat Production,def/property/heat-production
Heat Production Uncertainty,class/attribute/heatproductionuncertainty,Uncertainty,def/property/uncertainty
HF Quality Statistics Method,class/attribute/hf-qualitystatisticsmethod,Observation Procedure,def/property/observation-procedure
HG NumberSamples,class/attribute/hg-numbersamples,Measurement Count,def/property/measurement-count
Hole Diameter in,class/attribute/holediameter-in,Extent,def/property/extent
Horizontal Conductivity ft day,class/attribute/horizontalconductivity-ft-day,Hydraulic conductivity,def/property/hydraulic-conductivity
HU Code,class/attribute/hucode,Fiat Geographic Area,def/property/fiat-geographic-area
HVAC specifications,class/attribute/hvac-specs,Information,def/property/information
Hydraulic conductivity ft/day,class/attribute/hydraulicconductivityft-day,Hydraulic conductivity,def/property/hydraulic-conductivity
Hydraulic conductivity m/sec,class/attribute/hydraulicconductivitym-sec,Hydraulic conductivity,def/property/hydraulic-conductivity
Hydro Narrative,class/attribute/hydronarrative,Information,def/property/information
Hydrostatic Pressure,class/attribute/hydrostaticpressure,Pressure,def/property/pressure
Hydrostatic Pressure Method,class/attribute/hydrostaticpressuremethod,Observation Procedure,def/property/observation-procedure
Hypocenter URI,class/attribute/hypocenteruri,Feature Identifier,def/property/feature-identifier
Information Source,class/attribute/informationsource,Provenance,def/property/provenance
Injection Or Disposal,class/attribute/injectionordisposal,Purpose,def/property/purpose
Instrument,class/attribute/instrument,Instrument Name,def/property/instrument-name
Intercept Depth,class/attribute/interceptdepth,Vertical Position,def/property/vertical-position
Intercept Name,class/attribute/interceptname,Feature Name,def/property/feature-name
Intercept Type,class/attribute/intercepttype,Feature Type,def/property/feature-type
Interval Bottom Depth,class/attribute/intervalbottomdepth,Coverage Domain Bound,def/property/coverage-domain-bound
Interval Corrected Gradient,class/attribute/intervalcorrectedgradient,Temperature Gradient,def/property/temperature-gradient
Interval Corrected Gradient Method,class/attribute/intervalcorrectedgradientmethod,Observation Procedure,def/property/observation-procedure
Interval Corrected Heat Flow,class/attribute/intervalcorrectedheatflow,Heat Flow,def/property/heat-flow
Interval End Date Time,class/attribute/intervalenddatetime,Feature History,def/property/feature-history
Interval HF Quality Code,class/attribute/intervalhf-qualitycode,Uncertainty,def/property/uncertainty
Interval Name,class/attribute/intervalname,Feature Name,def/property/feature-name
Interval Since Movement,class/attribute/intervalsincemovement,History,def/property/history
Interval Start Date Time,class/attribute/intervalstartdatetime,History,def/property/history
Interval Thermal Conductivity,class/attribute/intervalthermalconductivity,Thermal Conductivity,def/property/thermal-conductivity
Interval Top Depth,class/attribute/intervaltopdepth,Vertical Position,def/property/vertical-position
Interval Type,class/attribute/intervaltype,Feature Type,def/property/feature-type
Interval Uncorrected Gradient,class/attribute/intervaluncorrectedgradient,Temperature Gradient,def/property/temperature-gradient
Interval Uncorrected Heat Flow,class/attribute/intervaluncorrectedheatflow,Heat Flow,def/property/heat-flow
Intervals,class/attribute/intervals,Measurement Count,def/property/measurement-count
Isoline Range Max,class/attribute/isolinerangemax,Zip Code,Table for now
Isoline Range Min,class/attribute/isolinerangemin,Zip Code,Table for now
Isoline Type And Units,class/attribute/isolinetypeandunits,Variable Type,def/property/variable-type
Isostatic Correction mgal,class/attribute/isostaticcorrection-mgal,Correction,def/property/correction
Keywords,class/attribute/keywords,Index Term,def/property/index-term
Label,class/attribute/label,Designation,def/property/designation
Laboratory Contact,class/attribute/laboratorycontact,Contact Information,def/property/contact-information
Laboratory URI,class/attribute/laboratoryuri,Observation Identifier,def/property/observation-identifier
Land Lease Owner,class/attribute/landleaseowner,Resource Owner,def/property/resource-owner
Land Owner,class/attribute/landowner,Resource Owner,def/property/resource-owner
LASFileURL,class/attribute/lasfileurl,Access Link,def/property/access-link
Last Production Date,class/attribute/lastproductiondate,History,def/property/history
Lat Centroid,class/attribute/latcentroid,Geospatial Position,def/property/geospatial-position
Lat Degree WGS84,class/attribute/latdegreewgs84,Geospatial Position,def/property/geospatial-position
Latitude Correction mgal,class/attribute/latitudecorrection-mgal,Correction,def/property/correction
Latitude Degrees,class/attribute/latitudedegrees,Latitude,def/property/latitude
Latitude Degrees,class/attribute/latdegree,Latitude,def/property/latitude
Lease Name,class/attribute/leasename,Fiat Geographic Area,def/property/fiat-geographic-area
Lease No,class/attribute/leaseno,Local Identifier,def/property/local-identifier
Lease Owner,class/attribute/leaseowner,Resource Owner,def/property/resource-owner
Length m,class/attribute/length-m,Extent,def/property/extent
Length Units,class/attribute/lengthunits,Unit of Measure,def/property/unit-of-measure
Lithology,class/attribute/lithology,Category  Name,def/property/category--name
Lithology Description,class/attribute/lithologydescription,Category  Name,def/property/category--name
Lithology Information,class/attribute/lithologyinformation,Category  Name,def/property/category--name
Lithology Term,class/attribute/lithologyterm,Lithology Type,def/property/lithology-type
Lithology Terms,class/attribute/lithologyterms,Lithology Type,def/property/lithology-type
Load Factor,class/attribute/loadfactor,Energy,def/property/energy
Locality Terms,class/attribute/localityterms,Location,def/property/location
Location Description,class/attribute/locationdescription,Location,def/property/location
Location Keyword,class/attribute/locationkeyword,Location Name,def/property/location-name
Location Name,class/attribute/locationname,Location,def/property/location
Location Uncertainty Code,class/attribute/locationuncertaintycode,Location Uncertainty,def/property/location-uncertainty
Location Uncertainty Radius,class/attribute/locationuncertaintyradius,Location Uncertainty,def/property/location-uncertainty
Location Uncertainty Statement,class/attribute/locationuncertaintystatement,Location Uncertainty,def/property/location-uncertainty
Log Type Name,class/attribute/logtypename,Category  Name,def/property/category--name
Log Type Term,class/attribute/logtypeterm,Procedure Type,def/property/procedure-type
Log URI,class/attribute/loguri,Identifier,def/property/identifier
Long Centroid,class/attribute/longcentroid,Geospatial Position,def/property/geospatial-position
Long Degree WGS84,class/attribute/longdegreewgs84,Geospatial Position,def/property/geospatial-position
Longitude Degree,class/attribute/longitudedegree,Longitude,def/property/longitude
Longitude Degree,class/attribute/longdegree,Longitude,def/property/longitude
Magnitude,class/attribute/magnitude,Seismic Magnitude,def/property/seismic-magnitude
Magnitude Type,class/attribute/magnitudetype,Procedure Type,def/property/procedure-type
Major Fields,class/attribute/majorfields,Feature Name,def/property/feature-name
Map Label,class/attribute/maplabel,Feature Name,def/property/feature-name
Material Class,class/attribute/materialclass,Category  Name,def/property/category--name
Material Composition,class/attribute/materialcomposition,Lithology Type,def/property/lithology-type
Max Mine Recharge Vol2 m3yr,class/attribute/maxminerechargevol2-m3yr,Fluid Flux,def/property/fluid-flux
Max Mine Recharge VolGrndwtr1 m3yr,class/attribute/maxminerechargevolgrndwtr1-m3yr,Fluid Flux,def/property/fluid-flux
Max Mine WtrVel1 myr,class/attribute/maxminewtrvel1-myr,Flow Velocity Magnitude,def/property/flow-velocity-magnitude
Max Mine WtrVel2 myr,class/attribute/maxminewtrvel2-myr,Flow Velocity Magnitude,def/property/flow-velocity-magnitude
Max Recharge Area km2,class/attribute/maxrechargearea-km2,Recharge Extent,def/property/recharge-extent
Max Residence Time 1 year,class/attribute/maxresidencetime1-yr,Residence Time,def/property/residence-time
Max Residence Time 2 year,class/attribute/maxresidencetime2-yr,Residence Time,def/property/residence-time
Maximum Heat Flux kJ/yr,class/attribute/maxhf-kjyr,Heat Flux,def/property/heat-flux
Maximum Monthly Water Production bbl,class/attribute/maximummonthlywaterproduction-bbl,Fluid Flux,def/property/fluid-flux
Maximum Recorded Temperature,class/attribute/maximumrecordedtemperature,Temperature,def/property/temperature
Mean Annual Precipitation Inchs,class/attribute/meanannualprecip-in,Precipitation Quantity,def/property/precipitation-quantity
Mean Capacity MW,class/attribute/meancapacity-mw,Power Production Capacity,def/property/power-production-capacity
Mean Reservoir Temperature,class/attribute/meanreservoirtemp,Temperature,def/property/temperature
Measured Temperature,class/attribute/measuredtemperature,Temperature,def/property/temperature
Measurement Count,class/attribute/measurementcount,Measurement Count,def/property/measurement-count
