URI,skos:prefLabel,dct:description,dcdtr:logicType,dcdtr:expectedUse,dcdtr:metaAttribute,skos:historyNote
class/data-object/well-test-result,Well Test Result,,def/concept/table,"information interchange using OGC Web feature service in the National Geothermal Data System. schema used for the interchange of well test observation results by the AASG geothermal data project for the National Geothermal Data System. The HeaderURI for a particular borehole (well for simple wells) is the cross-referencing link (foreign key) used to associate the header record, well logs, temperature measurements, and other information from a particular borehole.","[{""SRS"":""EPSG:4326""}]",steps from revision history on about Tab
class/data-object/concept,Concept,data type registry data object for representing a concept; has skos properties as well as a source association to a Citation.,def/concept/data-object,,,"data object defined in data type registry model, based on skos:Concept."
class/data-object/data-object,Data Object,"data type registry data object for representing a Data Object, which is a concrete subtype of Data Type",def/concept/data-object,,,data object defined in data type registry model
class/data-object/value-domain,Value Domain,data type registry data object for representing a value domain used to restrict the valid values for an Attribute,def/concept/data-object,,,data object defined in data type registry model
class/data-object/attribute,Attribute,"data type registry data object for representing an attribute, which represents the quantifier for a property in the context of a data object",def/concept/data-object,,,data object defined in data type registry model
class/data-object/wsp2321data,WSP2321Data,A hydraulic properties table extracted from USGS Water Supply paper 2321,def/concept/table,testing Digital crust Data integraton,,SM Richard transcribed data from WSP2321 to an excel spreadsheet; the columns in that table are defined in this data type
class/data-object/cphydroobservationdata,CPHydroObservationData,"tabular data type defined to compile hydraulic properties for rocks in Colorado Plateau, for Digital Crust project",def/concept/table,testing Digital crust Data integraton,,SM Richard transcribed data from WSP2321 to an excel spreadsheet; the columns in that table are defined in this data type
class/data-object/weigelobservation,WeigelObservation,"compilation of data on hydraulic conductivity properties of mesozoic formations, from USGS WRI 86-470, Weigel, 1987",def/concept/table,testing Digital crust Data integraton,,
class/data-object/measured-value,Measured Value,"object representing a measurement result; may be expressed  single value,  an aggregate (mean, median, mode) value with some associated statisitics, categorical, count, time, or a range on any one of these. ",def/concept/data-object,testing Digital crust Data integraton,,SMR Base on OGC SWE (Sensor web enablment) SWE common abstract data component.
class/data-object/quantity-with-units,Quantity with units,a simple representation of a measured value that includes a single representative value and the unit of measure as a tuple,def/concept/table,,,SMR to account for value and uom in separtate comlumns/fields. 
